timestamp,routes
2013-01-13 02:49:00, 3
2013-01-13 09:41:00, 64
2013-01-13 05:01:00, 6
2013-01-13 00:58:00, 6
2013-01-13 10:18:00, 30
2013-01-13 05:38:00, 1
2013-01-08 15:33:16, 1
2013-01-18 19:34:08, 1
2013-01-07 20:46:10, 1
2013-01-13 10:48:00, 64
2013-01-13 06:08:00, 7
2013-01-13 07:39:00, 20
2013-01-13 02:59:00, 4
2013-01-13 03:36:00, 41
2013-01-13 08:16:00, 7
2013-01-13 01:45:00, 2
2013-01-13 11:05:00, 47
2013-01-13 06:25:00, 7
2013-01-13 02:22:00, 10
2013-01-13 07:02:00, 17
2013-01-16 17:11:00, 1
2013-01-13 11:42:00, 25
2013-01-13 05:11:00, 4
2013-01-13 09:51:00, 32
2013-01-13 00:31:00, 3
